HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
168TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1408175,-122.8734954
156TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1044055,-122.806528
102A AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
168TH ST / 78TH AVE,Fatal/Injury Collision,1,2011,49.1628933,-122.8123432
96TH AVE / GOLDEN EARS WAY,Fatal/Injury Collision,1,2011,49.1765485,-122.7348644
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1987561,-122.8174121
176TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1336772,-122.8234103
88TH AVE / MALL ACCESS,Fatal/Injury Collision,1,2011,49.201761,-122.8876497
146A ST / 89TH AVE,Fatal/Injury Collision,1,2011,49.1651544,-122.8293017
132ND ST / 58TH AVE,Fatal/Injury Collision,1,2011,49.1297427,-122.7096751
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011,49.1261592,-122.6919162
SCOTT RD / 100TH AVE,Fatal/Injury Collision,1,2011,49.1840643,-122.8285119
130TH ST / 106A AVE,Fatal/Injury Collision,1,2011,49.15742299999999,-122.7790105
108TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.1262505,-122.8457025
94TH AVE / 164TH ST,Fatal/Injury Collision,1,2011,49.12786120000001,-122.7103629
126TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1915254,-122.8009848
96TH AVE / 140TH ST,Fatal/Injury Collision,1,2011,49.20573599999999,-122.884776
72ND AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.107799,-122.734958
82ND AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.12536129999999,-122.6852121
56TH AVE / 188TH ST,Fatal/Injury Collision,1,2011,49.1188941,-122.8677822
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011,49.1416732,-122.8173259
164TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1855916,-122.8631317
40TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.119093,-122.679964
168TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.133633,-122.6938707
184TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.0746443,-122.8012227
104TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1991867,-122.8824131
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.0022069,-122.6849035
176TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.112925,-122.8903693
86TH AVE / 123RD ST,Fatal/Injury Collision,1,2011,49.1915254,-122.8009848
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.133631,-122.8427866
152ND ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.15742299999999,-122.7790105
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011,49.1843145,-122.8432482
