HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,LATITUDE,LONGTITUDE
56TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1045154,-122.8011739
SPENSER DR / 136B ST,Fatal/Injury Collision,1,2011,49.131665,-122.843481
98TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1804704,-122.845495
OLD YALE RD / 132ND ST,Fatal/Injury Collision,1,2011,49.187695,-122.8564912
SCOTT RD / 103A AVE,Fatal/Injury Collision,1,2011,49.1906134,-122.8904124
160TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1768481,-122.7789836
180TH ST / 60TH AVE,Fatal/Injury Collision,1,2011,49.1114475,-122.7238105
166TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1507373,-122.7622622
32ND AVE ONRP / HWY 99,Fatal/Injury Collision,1,2011,49.1044302,-122.801094
128TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1771275,-122.8679718
120TH ST / 82ND AVE,Fatal/Injury Collision,1,2011,49.152274,-122.8903788
160TH ST / 40TH AVE,Fatal/Injury Collision,1,2011,49.0746079,-122.7791363
188TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1041526,-122.7017013
128TH ST / 80TH AVE,Fatal/Injury Collision,1,2011,49.1481747,-122.8680774
SCOTT RD / LARSON RD,Fatal/Injury Collision,1,2011,49.20123330000001,-122.8802107
16TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.0310683,-122.7755382
168TH ST / 20TH AVE,Fatal/Injury Collision,1,2011,49.038397,-122.757101
96TH AVE / 192ND ST,Fatal/Injury Collision,1,2011,49.1770399,-122.6904511
96TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.1771248,-122.8900787
112A AVE / BRIDGEVIEW DR,Fatal/Injury Collision,1,2011,49.2069617,-122.8674343
144TH ST / 88TH AVE,Fatal/Injury Collision,1,2011,49.1628117,-122.8235246
SUNWOOD DR / 120TH ST,Fatal/Injury Collision,1,2011,49.112925,-122.8903693
108TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1989606,-122.8564806
60TH AVE / MORGAN DR,Fatal/Injury Collision,1,2011,49.1114277,-122.7163205
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.19151309999999,-122.8397462
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.045672,-122.8011485
76TH AVE / 144TH ST,Fatal/Injury Collision,1,2011,49.1409727,-122.8234628
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.19151309999999,-122.8397462
84TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011,49.1557438,-122.7747112
16TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.0311989,-122.8564582
72ND AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1337905,-122.8568006
140TH ST / 64TH AVE,Fatal/Injury Collision,1,2011,49.1190496,-122.8343971
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011,49.1408717,-122.845624
108TH AVE / 148TH ST,Fatal/Injury Collision,1,2011,49.1987331,-122.8124861
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011,49.19162,-122.7897491
88TH AVE / 120TH ST,Fatal/Injury Collision,1,2011,49.16321380000001,-122.8903001
