HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR
160TH ST / 40TH AVE,Fatal/Injury Collision,1,2011
188TH ST / 56TH AVE,Fatal/Injury Collision,1,2011
128TH ST / 80TH AVE,Fatal/Injury Collision,1,2011
SCOTT RD / LARSON RD,Fatal/Injury Collision,1,2011
16TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
168TH ST / 20TH AVE,Fatal/Injury Collision,1,2011
96TH AVE / 192ND ST,Fatal/Injury Collision,1,2011
96TH AVE / 120TH ST,Fatal/Injury Collision,1,2011
112A AVE / BRIDGEVIEW DR,Fatal/Injury Collision,1,2011
144TH ST / 88TH AVE,Fatal/Injury Collision,1,2011
SUNWOOD DR / 120TH ST,Fatal/Injury Collision,1,2011
108TH AVE / 132ND ST,Fatal/Injury Collision,1,2011
60TH AVE / MORGAN DR,Fatal/Injury Collision,1,2011
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011
138TH ST / 104TH AVE,Fatal/Injury Collision,1,2011
24TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
76TH AVE / 144TH ST,Fatal/Injury Collision,1,2011
16TH AVE / 132ND ST,Fatal/Injury Collision,1,2011
84TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011
72ND AVE / 132ND ST,Fatal/Injury Collision,1,2011
140TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011
108TH AVE / 148TH ST,Fatal/Injury Collision,1,2011
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011
88TH AVE / 120TH ST,Fatal/Injury Collision,1,2011
152ND ST / 40TH AVE,Fatal/Injury Collision,1,2011
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
150TH ST / 88TH AVE,Fatal/Injury Collision,1,2011
156TH ST / 102ND AVE,Fatal/Injury Collision,1,2011
153RD ST / 105TH AVE,Fatal/Injury Collision,1,2011
57TH AVE / PANORAMA DR,Fatal/Injury Collision,1,2011
CRESCENT RD / 140TH ST,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / COLEBROOK RD,Fatal/Injury Collision,1,2011
88TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
56TH AVE / 180TH ST,Fatal/Injury Collision,1,2011
ELEVATOR RD / RIVER RD,Fatal/Injury Collision,1,2011
88TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011
156TH ST / 104TH AVE,Fatal/Injury Collision,1,2011
68TH AVE / 126TH ST,Fatal/Injury Collision,1,2011
96TH AVE / 128TH ST,Fatal/Injury Collision,1,2011
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011
102ND AVE / 133A ST,Fatal/Injury Collision,1,2011
153RD ST / 24TH AVE,Fatal/Injury Collision,1,2011
120TH ST / 101ST AVE,Fatal/Injury Collision,1,2011
132ND ST / 96TH AVE,Fatal/Injury Collision,1,2011
144TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
99TH AVE / 120TH ST,Fatal/Injury Collision,1,2011
80TH AVE / 128TH ST,Fatal/Injury Collision,1,2011
HYLAND RD / 140TH ST,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / 76TH AVE,Fatal/Injury Collision,1,2011
88TH AVE / FRASER HWY,Fatal/Injury Collision,1,2011
TRANS CANADA HWY / 176TH ST ONRP,Fatal/Injury Collision,1,2011
17TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
140TH ST / 102ND AVE,Fatal/Injury Collision,1,2011
126TH ST / 90TH AVE,Fatal/Injury Collision,1,2011
196TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
57TH AVE / 177B ST,Fatal/Injury Collision,1,2011
68TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
96TH AVE / 168TH ST,Fatal/Injury Collision,1,2011
FRASER HWY / 138TH ST,Fatal/Injury Collision,1,2011
KING RD / 141A ST,Fatal/Injury Collision,1,2011
64TH AVE / 148TH ST,Fatal/Injury Collision,1,2011
142ND ST / HYLAND RD,Fatal/Injury Collision,1,2011
68A AVE / HELSTON CRES,Fatal/Injury Collision,1,2011
72ND AVE / 150TH ST,Fatal/Injury Collision,1,2011
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
104TH AVE / SCOTT RD,Fatal/Injury Collision,1,2011
120TH ST / 72ND AVE,Fatal/Injury Collision,1,2011
122ND ST / 72ND AVE,Fatal/Injury Collision,1,2011
80TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
160TH ST / 24TH AVE,Fatal/Injury Collision,1,2011
154TH ST / 105TH AVE,Fatal/Injury Collision,1,2011
63RD AVE / 167A ST,Fatal/Injury Collision,1,2011
FRASER HWY / 148TH ST,Fatal/Injury Collision,1,2011
176TH ST / 32ND AVE,Fatal/Injury Collision,1,2011
176TH ST / 56TH AVE,Fatal/Injury Collision,1,2011
160TH ST / 98TH AVE,Fatal/Injury Collision,1,2011
24TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
88TH AVE / 187TH ST,Fatal/Injury Collision,1,2011
128TH ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
154TH ST / 17A AVE,Fatal/Injury Collision,1,2011
176TH ST / 60TH AVE,Fatal/Injury Collision,1,2011
40TH AVE / 168TH ST,Fatal/Injury Collision,1,2011
96TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
72ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
152ND ST / 84TH AVE,Fatal/Injury Collision,1,2011
100TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011
76TH AVE / 132ND ST,Fatal/Injury Collision,1,2011
156TH ST / 88TH AVE,Fatal/Injury Collision,1,2011
108TH AVE / 144TH ST,Fatal/Injury Collision,1,2011
FRASER HWY / 88TH AVE,Fatal/Injury Collision,1,2011
152ND ST / 64TH AVE,Fatal/Injury Collision,1,2011
130TH ST / 84TH AVE,Fatal/Injury Collision,1,2011
104TH AVE / 150TH ST,Fatal/Injury Collision,1,2011
FRASER HWY / 140TH ST,Fatal/Injury Collision,1,2011
FRASER HWY / WHALLEY BLVD,Fatal/Injury Collision,1,2011
76TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
104TH AVE / 156TH ST,Fatal/Injury Collision,1,2011
