,Unnamed: 0,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3759,3759,Fatal/Injury Collision,64TH AVE / KING GEORGE BLVD,1,2011
3760,3760,Fatal/Injury Collision,104TH AVE / SCOTT RD,1,2011
3761,3761,Fatal/Injury Collision,120TH ST / 72ND AVE,1,2011
3762,3762,Fatal/Injury Collision,122ND ST / 72ND AVE,1,2011
3763,3763,Fatal/Injury Collision,80TH AVE / KING GEORGE BLVD,1,2011
3764,3764,Fatal/Injury Collision,72ND AVE / KING GEORGE BLVD,1,2011
3765,3765,Fatal/Injury Collision,160TH ST / 24TH AVE,1,2011
3766,3766,Fatal/Injury Collision,154TH ST / 105TH AVE,1,2011
3767,3767,Fatal/Injury Collision,63RD AVE / 167A ST,1,2011
3768,3768,Fatal/Injury Collision,FRASER HWY / 148TH ST,1,2011
3769,3769,Fatal/Injury Collision,176TH ST / 32ND AVE,1,2011
3770,3770,Fatal/Injury Collision,176TH ST / 56TH AVE,1,2011
3771,3771,Fatal/Injury Collision,160TH ST / 98TH AVE,1,2011
3772,3772,Fatal/Injury Collision,24TH AVE / KING GEORGE BLVD,1,2011
3773,3773,Fatal/Injury Collision,88TH AVE / 187TH ST,1,2011
3774,3774,Fatal/Injury Collision,128TH ST / KING GEORGE BLVD,1,2011
3775,3775,Fatal/Injury Collision,154TH ST / 17A AVE,1,2011
3776,3776,Fatal/Injury Collision,176TH ST / 60TH AVE,1,2011
3777,3777,Fatal/Injury Collision,40TH AVE / 168TH ST,1,2011
3778,3778,Fatal/Injury Collision,96TH AVE / 152ND ST,1,2011
3779,3779,Fatal/Injury Collision,72ND AVE / KING GEORGE BLVD,1,2011
3780,3780,Fatal/Injury Collision,152ND ST / 84TH AVE,1,2011
3781,3781,Fatal/Injury Collision,100TH AVE / KING GEORGE BLVD,1,2011
3782,3782,Fatal/Injury Collision,104TH AVE / 156TH ST,1,2011
3783,3783,Fatal/Injury Collision,76TH AVE / 132ND ST,1,2011
3784,3784,Fatal/Injury Collision,156TH ST / 88TH AVE,1,2011
3785,3785,Fatal/Injury Collision,108TH AVE / 144TH ST,1,2011
3786,3786,Fatal/Injury Collision,FRASER HWY / 88TH AVE,1,2011
3787,3787,Fatal/Injury Collision,152ND ST / 64TH AVE,1,2011
3788,3788,Fatal/Injury Collision,130TH ST / 84TH AVE,1,2011
3789,3789,Fatal/Injury Collision,104TH AVE / 150TH ST,1,2011
3790,3790,Fatal/Injury Collision,FRASER HWY / 140TH ST,1,2011
3791,3791,Fatal/Injury Collision,FRASER HWY / WHALLEY BLVD,1,2011
3792,3792,Fatal/Injury Collision,76TH AVE / KING GEORGE BLVD,1,2011
3793,3793,Fatal/Injury Collision,104TH AVE / 156TH ST,1,2011
3794,3794,Fatal/Injury Collision,153RD ST / 101ST AVE,1,2011
3795,3795,Fatal/Injury Collision,32ND AVE / 160TH ST,1,2011
3796,3796,Fatal/Injury Collision,72ND AVE / 152ND ST,1,2011
3797,3797,Fatal/Injury Collision,FRASER HWY / 88TH AVE,1,2011
3798,3798,Fatal/Injury Collision,123A ST / 96TH AVE,1,2011
